Picture_Number;Name_of_the_Artist;Date;Title;Epoch_Style;Category_Name;Width_original;Height_original;Width_unified;Height_unified;Position_Horizontal_Vertical;Subset_Rated_by_Everyone;All_Liking_M;All_Liking_SD;All_Valence_M;All_Valence_SD;All_Arousal_M;All_Arousal_SD;All_Visual_Complexity_M;All_Visual_Complexity_SD;All_Familiarity_M;All_Familiarity_SD;Female_Liking_M;Female_Liking_SD;Female_Valence_M;Female_Valence_SD;Female_Arousal_M;Female_Arousal_SD;Female_Visual_Complexity_M;Female_Visual_Complexity_SD;Female_Familiarity_M;Female_Familiarity_SD;Male_Liking_M;Male_Liking_SD;Male_Valence_M;Male_Valence_SD;Male_Arousal_M;Male_Arousal_SD;Male_Visual_Complexity_M;Male_Visual_Complexity_SD;Male_Familiarity_M;Male_Familiarity_SD;Source
11114;Chirico de, Giorgio;1924-26;Der große Metaphysiker (Il grande metafisico);Surrealistic tendencies;Scenes;1851;2560;859;1200;v;0;4,2;1,609;3,9;1,1653;4,05;1,5381;4,75;1,164;1,35;0,8127;4,9;1,37;4,1;1,3703;4,3;1,8288;5,1;1,197;1,6;1,075;3,5;1,581;3,7;0,9487;3,8;1,2293;4,4;1,075;1,1;0,3162;http://unidam.univie.ac.at
11115;Ernst, Max;1922;Rendevouz der Freunde;Surrealistic tendencies;Scenes;2560;1689;1819;1200;h;0;4,35;1,461;3,95;0,887;4,75;0,9105;5,55;0,887;1,25;0,6387;4,55;1,368;3,818;0,9816;4,909;0,7006;5,64;0,924;1,455;0,8202;4,11;1,616;4,111;0,7817;4,556;1,1304;5,44;0,882;1;0;http://unidam.univie.ac.at
11116;Ernst, Max;1937;Triumph of Surrealism;Surrealistic tendencies;Scenes;2560;1983;1550;1200;h;0;3,95;1,959;3,65;1,7252;5,4;0,7539;4,45;1,432;1,35;0,8127;3;2;2,7;1,6364;5,7;0,483;4,3;1,889;1,3;0,6749;4,9;1,449;4,6;1,2649;5,1;0,8756;4,6;0,843;1,4;0,9661;http://unidam.univie.ac.at
11117;Blume, Peter;1934-35;The Eternal City;Surrealistic tendencies;Scenes;2248;1596;1693;1200;h;0;4,5;1,878;3,4;1,3139;5,3;0,7327;5,75;1,251;1,65;1,3089;4,1;2,183;3;1,1547;5,5;0,7071;5,9;1,37;2;1,6997;4,9;1,524;3,8;1,3984;5,1;0,7379;5,6;1,174;1,3;0,6749;http://library.artstor.org
11118;Hausner, Rudolf;unknown;Alter Billardspieler- vor ihm sein vertrauter, persönlicher Gegner - aber hinter ihm - wer ist das?;Surrealistic tendencies;Scenes;1654;1594;1245;1200;h;0;4,05;1,701;3,25;1,2085;5;0,7947;4,35;1,309;1,8;1,8525;4,45;1,695;3,455;1,1282;5,091;0,5394;4,73;0,905;1,545;1,5076;3,56;1,667;3;1,3229;4,889;1,0541;3,89;1,616;2,111;2,2608;http://www.dorotheum.com/presse/archiv-detail/galoppierende-preise-spitzenergebnisse-fuer-maler-des-blauen-reiter-weltrekorde-fuer-alfons-wal.html
11119;Goncharova, Natalia;1927;Death of Jean-Paul Marat;Surrealistic tendencies;Scenes;957;1600;718;1200;v;0;2,45;1,191;2,1;0,9679;4,35;1,2258;3;0,973;1,35;0,8127;2,7;1,337;2,2;0,9189;4,7;0,9487;3,2;1,135;1,6;1,075;2,2;1,033;2;1,0541;4;1,4142;2,8;0,789;1,1;0,3162;http://library.artstor.org
11120;Sedlacek, Franz;1938;Evening Song;Surrealistic tendencies;Scenes;1187;1600;890;1200;v;0;4,6;1,603;5,1;1,0208;4,05;1,2344;4,25;1,251;1,45;1,3563;4,91;1,578;5;1,0954;4;1,4142;4;1,342;1,727;1,7939;4,22;1,641;5,222;0,9718;4,111;1,0541;4,56;1,13;1,111;0,3333;http://kurier.at/kultur/kunst/franz-sedlacek-bizarre-gestalten-groteske-motive/48.777.040#48778033,48777873
11121;Spencer, Stanley;1936;Nursery;Surrealistic tendencies;Scenes;1936;1600;1447;1200;h;0;3,8;1,609;3,05;1,0501;4,85;1,3089;4,85;1,599;1,35;0,9881;3,2;1,619;3;0,6667;4,8;1,3166;4,8;2,098;1,5;1,2693;4,4;1,43;3,1;1,3703;4,9;1,3703;4,9;0,994;1,2;0,6325;http://library.artstor.org
11122;Tooker, George;1950;Subway;Surrealistic tendencies;Scenes;2600;1318;1920;974;h;0;5,25;1,446;2,65;1,04;5,2;1,3219;4,85;1,137;1,3;1,3416;5;1,658;2,444;0,7265;5,444;1,0138;4,89;1,167;1;0;5,45;1,293;2,818;1,2505;5;1,5492;4,82;1,168;1,545;1,8091;http://artmagazinesa.com/tag/realism-vs-Surrealism/#
11123;Brauner, Viktor;1939;Fascination;Surrealistic tendencies;Scenes;1283;1600;962;1200;v;0;3,7;1,78;3,25;1,0195;4,85;1,3485;3,75;1,164;1,4;1,1425;3;1,658;2,889;0,928;5,111;1,1667;3,33;1,225;1;0;4,27;1,737;3,545;1,0357;4,636;1,5015;4,09;1,044;1,727;1,4894;http://library.artstor.org
11124;Wunderlich, Paul;1927;Die Eine raucht, die Andere denkt;Surrealistic tendencies;Scenes;1254;1600;940;1200;v;0;3,55;1,905;4,15;1,0894;4,35;0,8751;3,55;1,234;1;0;2,9;1,853;3,5;0,8498;4,5;0,7071;3,9;1,37;1;0;4,2;1,814;4,8;0,9189;4,2;1,0328;3,2;1,033;1;0;https://www.bukowskis.com/sv/auctions/555/336-paul-wunderlich-die-eine-raucht-die-andere-denkt
11125;Fuchs, Ernst;1957-60;Psalm 69;Surrealistic tendencies;Scenes;1838;2560;861;1200;v;0;4,5;2,039;3,55;1,5381;5,7;1,1286;5,4;1,273;1;0;4,5;2,068;3,5;1,6499;5,6;0,9661;5,4;1,578;1;0;4,5;2,121;3,6;1,5055;5,8;1,3166;5,4;0,966;1;0;http://unidam.univie.ac.at
11126;Fuchs, Ernst;1978-80;Triumph des Einhorns;Surrealistic tendencies;Scenes;1962;2560;920;1200;v;0;3,45;1,791;2,45;1,191;5,8;0,7678;5,5;1,357;1,2;0,6959;2,8;1,932;1,9;0,7379;6,2;0,6325;6;0,667;1,3;0,9487;4,1;1,449;3;1,3333;5,4;0,6992;5;1,7;1,1;0,3162;http://unidam.univie.ac.at
11127;Fuchs, Ernst;1983;Der Tanz mit dem Tod;Surrealistic tendencies;Scenes;1659;2560;778;1200;v;1;3,65;1,827;2,433;1,2551;5,15;1,1126;5,1;1,111;1,25;0,919;3,1;1,714;1,983;1,1122;5,233;1,0312;5,22;1,151;1,25;0,7946;4,2;1,783;2,883;1,2363;5,067;1,1913;4,98;1,066;1,25;1,0354;http://unidam.univie.ac.at
10723;Bacon, Francis;1976;Figure Writing, Reflected in Mirror;Expressionistic tendencies;Scenes;1182;1600;886;1200;v;0;2,7;1,895;3;1,0761;4,2;1,3992;3,65;1,424;1,1;0,3078;3,3;1,947;3,2;0,9189;4,6;0,6992;4,2;1,229;1,1;0,3162;2,1;1,729;2,8;1,2293;3,8;1,8135;3,1;1,449;1,1;0,3162;http://library.artstor.org
10724;Bacon, Francis;1980;Carcass of Meat and Bird of Prey (Carcasse de viande et oiseau de proie);Expressionistic tendencies;Scenes;1197;1600;898;1200;v;0;3,15;1,814;2,8;1,0563;4,6;1,1877;3,85;1,424;1,25;0,7864;2,9;1,595;2,3;1,1595;4,4;1,075;4,1;1,449;1,5;1,0801;3,4;2,066;3,3;0,6749;4,8;1,3166;3,6;1,43;1;0;http://library.artstor.org
10725;Bacon, Francis;1988;Second Version of Triptych 1944;Expressionistic tendencies;Scenes;2600;1124;1920;830;h;0;3;2;2,35;0,9333;4,8;1,0563;4,2;1,361;1,3;0,9787;2,4;1,897;2;1,0541;5;0,9428;4,2;1,619;1,4;1,2649;3,6;2,011;2,7;0,6749;4,6;1,1738;4,2;1,135;1,2;0,6325; 
10726;Baselitz, Georg;1962;Acker;Expressionistic tendencies;Scenes;2087;1600;1565;1200;h;0;2,7;1,922;1,85;1,1367;4,45;1,3169;4,05;1,146;1,35;0,9881;3;2,28;1,909;1,3751;4,545;1,4397;4,45;0,934;1,455;1,2136;2,33;1,414;1,778;0,8333;4,333;1,2247;3,56;1,236;1,222;0,6667; 
11026;Fischl, Eric;1982;Barbecue;Realistic tendencies II. (20th-21st century);Scenes;2467;1600;1850;1200;h;0;4,3;1,593;4,5;1,1002;4,9;0,7182;4,15;1,089;1,5;1,1471;3,7;1,636;4,1;0,8756;4,7;0,483;4,1;0,994;1,6;1,075;4,9;1,37;4,9;1,1972;5,1;0,8756;4,2;1,229;1,4;1,2649;http://artistportfoliomagazine.wordpress.com/2013/01/09/eric-fischl-at-the-san-jose-museum-of-art/
11027;Fischl, Eric;júl.06;Scenes from Late Paradise: The Parade;Realistic tendencies II. (20th-21st century);Scenes;2288;1600;1716;1200;h;0;4,5;1,792;4,25;1,2085;4,7;1,2183;4,45;1,146;1,25;0,7164;4,11;1,764;4,556;1,236;5;1;4,78;0,833;1,333;1;4,82;1,834;4;1,1832;4,455;1,3685;4,18;1,328;1,182;0,4045;http://www.deborahfeller.com/news-and-views/?p=1758
11028;Freud, Lucian;1995;Benefits Supervisor Resting;Realistic tendencies II. (20th-21st century);Scenes;2305;1600;1729;1200;h;0;3,15;1,927;3,05;1,5035;4,5;1,3179;3,8;1,281;1,6;1,8468;3,6;2,119;3,2;1,4757;4,8;0,9189;3,6;1,506;1;0;2,7;1,703;2,9;1,5951;4,2;1,6193;4;1,054;2,2;2,5298;http://www.studyblue.com/notes/note/n/contemp-art-final-/deck/10814303
11029;Freud, Lucian;1997;Sunny Morning Eight Legs;Realistic tendencies II. (20th-21st century);Scenes;913;1600;683;1200;v;0;3,4;2,01;2,3;1,0311;5;1,1239;4,8;1,281;1,9;1,861;2,9;1,969;1,8;0,6325;5,1;1,2867;5;1,633;2,2;2,2998;3,9;2,025;2,8;1,1353;4,9;0,9944;4,6;0,843;1,6;1,3499;http://couleurblind.me/2011/07/23/lucian-freud/
11030;Lassnig, Maria;2004;Three Ways of Being;Realistic tendencies II. (20th-21st century);Scenes;2597;1600;1920;1183;h;0;2,55;1,538;2,9;1,4473;5,15;0,9333;3,65;1,424;1,4;1,3917;2,45;1,508;2,636;1,4334;5,273;1,1037;4,18;1,537;1,182;0,603;2,67;1,658;3,222;1,4814;5;0,7071;3;1;1,667;2;http://homepage-alt.museum-joanneum.at/de/presse/aktuelle-projekte/zwei_oder_drei_oder_etwas_maria_lassnig_liz_larner_1
11031;Lassnig, Maria;2005;Hospital;Realistic tendencies II. (20th-21st century);Scenes;2138;1600;1604;1200;h;1;2,98;1,78;2,275;1,0039;4,467;1,2157;3,55;1,276;1,425;1,2207;2,77;1,807;2,25;1,0021;4,433;1,1984;3,62;1,263;1,6;1,4403;3,18;1,742;2,3;1,0135;4,5;1,2419;3,48;1,295;1,25;0,932;http://homepage-alt.museum-joanneum.at/de/presse/aktuelle-projekte/zwei_oder_drei_oder_etwas_maria_lassnig_liz_larner_1
10727;A.R. Penck;1981;Ohne Titel (mit Reinhard Stangl);Expressionistic tendencies;Scenes;2131;1600;1684;1200;h;0;2,4;1,759;2,75;1,0195;4,9;1,5183;3,4;1,729;1,05;0,2236;3;2,062;3,111;1,0541;5,444;0,8819;4,33;1,5;1,111;0,3333;1,91;1,375;2,455;0,9342;4,455;1,8091;2,64;1,567;1;0;http://www.ohne-uns-dresden.de/wordpress/wp-content/uploads/2009/08/Stangl-Penck-1981-Abb.-71.jpg
10728;A.R. Penck;1982;Ohne Titel;Expressionistic tendencies;Scenes;2098;1600;1574;1200;h;0;2,75;1,682;2,85;1,2258;4,6;1,6351;3;1,747;2,35;2,059;2,67;1,658;2,778;0,9718;4,889;1,3642;3,56;2,007;2,889;2,6194;2,82;1,779;2,909;1,446;4,364;1,8586;2,55;1,44;1,909;1,446;http://arttact.com/media/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/a/_/a.r._penck_ohne_titel_1982_acryl_auf_leinwand_255_x_335_cm_1.jpg
10729;Basquiat, Jean-Michel;1981;(Untitled) Fallen Angel;Expressionistic tendencies;Scenes;2560;2174;1413;1200;h;0;3,4;2,257;3,05;1,5381;5,15;0,8751;4,1;1,518;1,55;1,5381;2,9;2,424;2,3;1,1595;5;1,0541;4,1;1,449;1,1;0,3162;3,9;2,079;3,8;1,5492;5,3;0,6749;4,1;1,663;2;2,1082;http://unidam.univie.ac.at
10730;Basquiat, Jean-Michel;1982;Dustheads;Expressionistic tendencies;Scenes;2560;2220;1384;1200;h;0;3,6;1,569;3,6;0,9403;4,85;1,268;4,05;1,395;1,45;0,9987;3,2;1,619;3,3;0,9487;5,2;0,6325;4;1,333;1,3;0,6749;4;1,491;3,9;0,8756;4,5;1,6499;4,1;1,524;1,6;1,2649;http://unidam.univie.ac.at
10731;Warhol & Basquiat;1985;Third Eye;Expressionistic tendencies;Scenes;2565;1600;1920;1198;h;0;3,25;1,86;2,95;1,191;4,95;0,9987;3,25;1,118;1,8;1,8525;2,9;1,729;2,9;0,8756;4,6;0,5164;2,9;1,197;2,4;2,5033;3,6;2,011;3;1,4907;5,3;1,2517;3,6;0,966;1,2;0,4216;http://www.phillips.com/detail/JEAN-MICHEL-BASQUIAT-AND-ANDY-WARHOL/NY010111/20
20101;Sarto del, Andrea;unknown;Portrait of a Man;Renaissance and Mannerism;Portrait;1199;1600;888;1200;v;0;3,7;1,689;3,8;1,0563;3,35;1,1821;3,4;1,188;2;1,556;3,818;1,328;3,909;0,7006;3,545;1,2933;3,45;0,688;2,273;1,6787;3,556;2,1279;3,667;1,4142;3,111;1,0541;3,33;1,658;1,667;1,4142;http://library.artstor.org
20102;Vinci da, Leonardo;1513-16;Saint John the Baptist;Renaissance and Mannerism;Portrait;1247;1600;908;1200;v;0;3,25;1,4824;3,65;0,9333;3,85;1,1821;3,7;1,593;1,85;1,5985;3,6;1,3499;3,7;0,8233;4;1,3333;3,8;1,932;2,1;2,0248;2,9;1,5951;3,6;1,075;3,7;1,0593;3,6;1,265;1,6;1,075;http://library.artstor.org
20103;Vinci da, Leonardo;1502-06;Mona Lisa;Renaissance and Mannerism;Portrait;1078;1600;788;1200;v;0;4,5;1,4327;4,7;0,9787;3,25;1,3328;4,7;1,261;7;0;4,2;1,4757;4,4;1,075;3;1,0541;4,7;1,16;7;0;4,8;1,3984;5;0,8165;3,5;1,5811;4,7;1,418;7;0;http://library.artstor.org
20104;Bellini, Giovanni;1501-05;Portrait of Doge Leonardo Loredan;Renaissance and Mannerism;Portrait;1156;1600;860;1200;v;0;3,25;1,5853;3,7;0,6569;3,3;1,4546;3,45;1,572;2;2,1275;2,889;1,3642;3,889;0,3333;2,778;1,2019;3,56;1,424;1,889;1,8333;3,545;1,7529;3,545;0,8202;3,727;1,5551;3,36;1,748;2,091;2,4271;http://de.wikipedia.org/wiki/Datei:Giovanni_Bellini,_portrait_of_Doge_Leonardo_Loredan.jpg
20105;Lotto, Lorenzo;1543-44;Portrait of Laura da Pola;Renaissance and Mannerism;Portrait;1343;1600;1006;1200;v;0;3;1,214;3,5;0,7609;3,3;1,0311;3,7;1,129;1,2;0,5231;2,9;1,1972;3,6;0,8433;3,3;0,6749;3,4;0,966;1,3;0,6749;3,1;1,2867;3,4;0,6992;3,3;1,3375;4;1,247;1,1;0,3162;http://library.artstor.org
20106;Lotto, Lorenzo;1540er;Portrait of a Man with a Felt Hat;Renaissance and Mannerism;Portrait;1310;1600;978;1200;v;0;3,5;1,2354;3,8;0,8944;3,35;0,9881;3,9;1,334;1,85;1,6631;3,4;1,1738;3,9;0,9944;3,3;0,9487;3,5;1,269;2,2;1,9889;3,6;1,3499;3,7;0,8233;3,4;1,075;4,3;1,337;1,5;1,2693;http://library.artstor.org
20107;Lotto, Lorenzo;1505-06;Portrait of a Woman;Renaissance and Mannerism;Portrait;1221;1600;916;1200;v;0;2,6;1,6983;3,4;0,8208;3,2;1,1517;3,25;1,293;1,35;0,7452;3,5;1,7795;3,8;0,6325;3,2;1,2293;3,5;1,434;1,5;0,8498;1,7;1,0593;3;0,8165;3,2;1,1353;3;1,155;1,2;0,6325;http://library.artstor.org
20108;Raphael;1515;Bindo Altoviti;Renaissance and Mannerism;Portrait;1168;1600;870;1200;v;0;3,6;1,5694;3,65;0,8751;3,3;0,9787;3,7;1,658;1,85;1,9541;3,2;1,7512;3,6;0,6992;3,2;0,9189;3,3;1,703;2,6;2,5906;4;1,3333;3,7;1,0593;3,4;1,075;4,1;1,595;1,1;0,3162;http://library.artstor.org
20109;Raphael;1512-13;Lady with a Veil (La Donna Velata);Renaissance and Mannerism;Portrait;1246;1600;934;1200;v;0;4,15;1,1367;4,4;0,7539;3,25;1,3717;4,2;1,436;1,8;1,2814;4,455;0,8202;4,364;0,6742;2,818;0,8739;4;1,183;2,182;1,5374;3,778;1,3944;4,444;0,8819;3,778;1,7159;4,44;1,74;1,333;0,7071;http://library.artstor.org
20110;Raphael;1514-15;Count Baldassare Castiglione;Renaissance and Mannerism;Portrait;1266;1600;950;1200;v;0;4,1;1,2096;3,9;0,7881;3,15;1,04;3,05;1,099;2,15;2,0844;4;1,4142;4;0,8165;3,5;0,9718;2,7;1,337;2,4;2,2211;4,2;1,0328;3,8;0,7888;2,8;1,0328;3,4;0,699;1,9;2,0248;http://library.artstor.org
20111;Tizian;1512-15;Woman with a Mirror;Renaissance and Mannerism;Portrait;1244;1600;934;1200;v;0;3,75;1,4464;4,2;0,8944;3,6;0,8208;4,1;1,252;1,45;0,887;3,3;1,567;4,1;1,1972;3,3;0,6749;4,1;1,287;1,8;1,1353;4,2;1,2293;4,3;0,483;3,9;0,8756;4,1;1,287;1,1;0,3162;http://library.artstor.org
20112;Tizian;1540-45;"Portrait of a Man with Greyish-blue Eyes (Bildnis des so genannten ""Jungen Engländers"")";Renaissance and Mannerism;Portrait;1356;1600;1017;1200;v;0;3,2;1,5079;3,8;0,7678;3,6;1,4654;2,9;1,294;1,3;0,7327;3;1,6583;3,778;0,8333;3,556;1,3333;3,33;1,118;1,444;1,0138;3,364;1,4334;3,818;0,7508;3,636;1,6293;2,55;1,368;1,182;0,4045;http://library.artstor.org
20113;Tizian;1511-12;A Man with a Quilted Sleeve;Renaissance and Mannerism;Portrait;1315;1600;974;1200;v;0;2,65;1,1821;3,65;0,6708;2,9;1,1192;2,85;1,182;1,45;0,887;2,7;1,3375;3,6;0,6992;2,9;0,8756;2,8;1,033;1,4;0,6992;2,6;1,075;3,7;0,6749;2,9;1,3703;2,9;1,37;1,5;1,0801;http://en.wikipedia.org/wiki/A_Man_with_a_Quilted_Sleeve
20114;Cranach the Elder, Lukas;unknown;Martin Luther;Renaissance and Mannerism;Portrait;1112;1600;834;1200;v;0;3,75;1,3717;3,85;0,7452;3,25;1,0195;2,9;1,071;4,45;2,2589;3,8;1,6193;3,7;0,8233;3,6;0,6992;2,6;0,843;5,2;1,9889;3,7;1,1595;4;0,6667;2,9;1,1972;3,2;1,229;3,7;2,3594;http://library.artstor.org
20115;Cranach the Elder, Lukas;1530;Portrait Margarete von Österreich;Renaissance and Mannerism;Portrait;1150;1600;863;1200;v;0;3,45;1,2763;4,15;0,9333;2,75;1,0699;2,65;1,137;1,65;1,1367;3,909;1,3003;4,364;1,1201;2,818;1,328;2,55;1,036;1,909;1,3751;2,889;1,0541;3,889;0,6009;2,667;0,7071;2,78;1,302;1,333;0,7071;http://www.landesmuseum-oldenburg.niedersachsen.de/portal/live.php?navigation_id=33060&article_id=114981&_psmand=184
20116;Cranach the Elder, Lukas;1537;Portrait of a young Woman (probably Princess Emilia of Saxony);Renaissance and Mannerism;Portrait;1141;1600;815;1200;v;0;3,15;1,8715;3,4;0,9403;3,7;1,3803;4,15;1,387;1,8;1,2814;3,9;1,912;3,6;0,9661;4,2;1,3984;4,7;1,418;2,4;1,5055;2,4;1,5776;3,2;0,9189;3,2;1,2293;3,6;1,174;1,2;0,6325;http://commons.wikimedia.org/wiki/File:Lucas_Cranach_d.%C3%84._-_Bildnis_einer_jungen_Frau_%28Statens_Museum_for_Kunst%29.jpg
20117;Dürer, Albrecht;1489/90;Portrait Barbara Dürer, geb.Holper;Renaissance and Mannerism;Portrait;1217;1600;903;1200;v;0;3,75;1,5517;3,95;0,887;3,4;1,0463;3,8;1,152;1,6;1,0954;3,4;1,5776;3,6;0,6992;3,3;1,3375;3,8;1,229;1,6;0,9661;4,1;1,5239;4,3;0,9487;3,5;0,7071;3,8;1,135;1,6;1,2649;http://unidam.univie.ac.at
20118;Dürer, Albrecht;1497;The Painter`s Father;Renaissance and Mannerism;Portrait;1239;1600;929;1200;v;0;3,8;1,5079;3,75;0,8507;2,95;1,3169;3,25;1,585;1,85;1,268;3,9;1,5951;3,9;0,5676;3;0,9428;2,6;1,075;2,1;1,4491;3,7;1,4944;3,6;1,075;2,9;1,6633;3,9;1,792;1,6;1,075;http://library.artstor.org
20119;Dürer, Albrecht;1500;Self Portrait (Selbstbildnis im Pelzrock);Renaissance and Mannerism;Portrait;1153;1600;850;1200;v;0;4,35;1,1367;4,05;0,7592;3,55;1,2344;3,7;1,342;3;2,4921;4,364;1,0269;4,182;0,4045;2,909;1,3003;3,18;1,168;3,182;2,6007;4,333;1,3229;3,889;1,0541;4,333;0,5;4,33;1,323;2,778;2,4889;http://kultur-vollzug.de/wp-content/uploads/2011/08/20110814_duerer_gemaelde.jpg
20120;Holbein the Younger, Hans;1532;Der Kaufmann Georg Gisze;Renaissance and Mannerism;Portrait;1406;1600;1043;1200;v;0;4,4;1,3139;4,45;0,887;3,5;1,2773;4,85;1,137;2,8;2,5464;4,3;1,4181;4,4;0,9661;3,7;1,2517;4,6;1,43;2,9;2,4698;4,5;1,2693;4,5;0,8498;3,3;1,3375;5,1;0,738;2,7;2,7508;http://library.artstor.org
20121;Holbein the Younger, Hans;1527;Sir Thomas More;Renaissance and Mannerism;Portrait;1286;1600;961;1200;v;1;3,7;1,4296;3,725;0,8195;3,55;1,1439;4,08;1,504;2,25;1,8976;3,617;1,4624;3,617;0,8456;3,567;1,0635;4,03;1,449;2,55;1,926;3,783;1,4033;3,833;0,7847;3,533;1,2277;4,13;1,567;1,95;1,8358;http://upload.wikimedia.org/wikipedia/commons/d/d2/Hans_Holbein,_the_Younger_-_Sir_Thomas_More_-_Google_Art_Project.jpg
20122;Gossaert, Jan;1530;Bildnis eines Kaufmanns;Renaissance and Mannerism;Portrait;1186;1600;889;1200;v;0;3,45;1,3945;3,85;0,8751;3,05;1,3945;3,95;1,317;1,7;1,3803;3,667;1,3229;3,889;0,3333;2,778;1,2019;3,89;1,269;1,333;1;3,273;1,4894;3,818;1,1677;3,273;1,5551;4;1,414;2;1,6125;http://img.rtve.es/imagenes/retrato-hombre-jan-jacobsz-snoek-sobre-1530-jan-gossaert-oleo-sobre-tabla/1297865223625.jpg
20123;Clouet, Jean;1530;Franz I.;Renaissance and Mannerism;Portrait;1244;1600;933;1200;v;0;2,45;1,3563;3,8;0,7678;3,1;1,3338;3,55;1,761;1,8;1,3611;2,556;1,424;4;0;2,889;1,453;3,56;1,944;2,444;1,7401;2,364;1,3618;3,636;1,0269;3,273;1,2721;3,55;1,695;1,273;0,6467;http://library.artstor.org
20124;Massys, Quinten;about 1513;An Old Woman ('The Ugly Duchess');Renaissance and Mannerism;Portrait;1216;1600;912;1200;v;0;2,9;1,9167;3,1;1,7137;4,7;1,2183;4,2;1,24;1,25;0,6387;2,5;1,5092;2,6;1,7127;4,4;1,3499;4,5;1,434;1,4;0,8433;3,3;2,2632;3,6;1,6465;5;1,0541;3,9;0,994;1,1;0,3162;http://library.artstor.org
20125;Bronzino, Agnolo;1530s;Portrait of a Young Man;Renaissance and Mannerism;Portrait;1253;1600;940;1200;v;0;3,3;1,7502;3,55;0,8256;3,25;1,3328;3,7;1,174;1,15;0,3663;4,3;1,567;4;0,6667;3,6;1,075;4,1;1,101;1,2;0,4216;2,3;1,3375;3,1;0,7379;2,9;1,5239;3,3;1,16;1,1;0,3162;http://library.artstor.org
20126;Bronzino, Agnolo;1540s;Ritratto di Lucrezia Panciatich;Renaissance and Mannerism;Portrait;1291;1600;968;1200;v;0;3,4;1,5355;3,25;1,0699;3,35;1,268;3,25;1,209;1,45;0,887;3,8;1,5492;3,5;0,8498;3,3;0,9487;2,8;0,789;1,4;0,6992;3;1,4907;3;1,2472;3,4;1,5776;3,7;1,418;1,5;1,0801;http://library.artstor.org
20127;Bronzino, Agnolo;1540s;Portrait of an Elderly Lady;Renaissance and Mannerism;Portrait;1246;1600;934;1200;v;1;3,217;1,4848;3,083;0,9401;3,2;1,1346;3,46;1,449;1,358;0,797;3,35;1,5385;3,117;0,9037;3,183;1,157;3,32;1,359;1,483;0,8924;3,083;1,4296;3,05;0,9816;3,217;1,1213;3,6;1,532;1,233;0,6731;http://library.artstor.org
20128;Arcimboldo, Giuseppe;1563;Sommer;Renaissance and Mannerism;Portrait;1221;1600;916;1200;v;0;4,4;1,818;4,3;1,6575;4,45;1,0501;5,2;1,24;5,2;2,6077;4,3;1,6364;4,3;1,8886;4,7;0,8233;5,4;1,174;6;2;4,5;2,0683;4,3;1,4944;4,2;1,2293;5;1,333;4,4;2,9889; 
20129;Arcimboldo, Giuseppe;1563;Winter;Renaissance and Mannerism;Portrait;1215;1600;901;1200;v;0;4,55;1,572;3,95;1,2344;4,65;1,3089;5,3;1,081;4,05;2,781;4,818;1,6011;4,182;1,2505;4,455;1,3685;5,36;1,206;4,545;2,6595;4,222;1,5635;3,667;1,2247;4,889;1,2693;5,22;0,972;3,444;2,9627; 
20130;El Greco;1583-85;Portrait of a Gentleman, raising his Hand to his Chest;Renaissance and Mannerism;Portrait;1262;1600;946;1200;v;0;3,15;1,5313;3,4;0,8208;3,25;1,118;2,85;1,461;2,05;1,7614;3,111;1,6159;3,444;0,527;3,111;1,0541;2,67;1,5;1,889;1,8333;3,182;1,5374;3,364;1,0269;3,364;1,206;3;1,483;2,182;1,7787;http://cuadrosquever.blogspot.co.at/2010/11/el-caballero-de-la-mano-en-el-pecho-el.html
20131;El Greco;1590-1600;Portrait of a Man;Renaissance and Mannerism;Portrait;1418;1600;1054;1200;v;0;2,8;1,4364;3;1,1698;3,6;1,1877;3,05;1,191;1,15;0,4894;2,3;1,3375;2,9;1,1005;3,4;1,3499;2,8;0,919;1,3;0,6749;3,3;1,4181;3,1;1,2867;3,8;1,0328;3,3;1,418;1;0;http://library.artstor.org
20132;Parmigianino;1535-37;Antea;Renaissance and Mannerism;Portrait;1000;1600;750;1200;v;0;3,9;1,5183;3,55;1,0501;3,6;1,0954;4,15;1,348;1,35;0,7452;3,5;1,5811;3,4;1,3499;3,1;0,8756;4;1,414;1,6;0,9661;4,3;1,4181;3,7;0,6749;4,1;1,1005;4,3;1,337;1,1;0,3162;http://library.artstor.org
20133;Pontormo da, Jacopo;1543;Portrait of Maria Salviati;Renaissance and Mannerism;Portrait;1296;1600;960;1200;v;0;3,75;1,3328;3,65;0,8751;3,05;1,099;3,45;1,276;1,15;0,6708;4,1;1,3703;3,7;1,0593;3,4;1,1738;3,5;1,716;1,3;0,9487;3,4;1,2649;3,6;0,6992;2,7;0,9487;3,4;0,699;1;0;http://library.artstor.org
20201;Caravaggio da, Michelangelo Merisi;um 1593;Bacchus;Baroque and Rococo ;Portrait;1404;1600;1053;1200;v;0;3,25;1,6182;3,75;0,9665;3,05;1,1459;4,1;1,483;2,35;2,3232;4;1,633;4,1;0,9944;3,2;1,2293;4,5;1,434;3,6;2,7968;2,5;1,2693;3,4;0,8433;2,9;1,1005;3,7;1,494;1,1;0,3162;http://library.artstor.org
